序號,活動名稱,地點名稱,活動展演起日,活動展演迄日,活動型態,辦理單位,票價或費用
1,2023名間茶園音樂藝術節：裝置藝術展覽,名間鄉七星陣地雕堡園區、受天宮U型廣場,2024/1/1 08:00,2024/5/31 17:00,展覽,"主辦︰南投縣名間鄉公所
主辦︰南投縣名間鄉受天宮",
2,文心雕鳳—簡榮聰文學展,南投縣政府文化局圖書館,2024/1/1 08:30,2024/3/24 17:00,展覽,"主辦︰南投縣政府文化局
指導︰南投縣政府
指導︰文化部",
3,臺灣工藝百年進行式,國立臺灣工藝研究發展中心（臺灣工藝文化園區）,2024/1/1 09:00,2024/11/30 17:00,展覽,"主辦︰國立臺灣工藝研究發展中心
指導︰文化部",
4,梯間智慧--「好書精選」海報常設展,國立公共資訊圖書館中興分館,2024/1/1 09:00,2024/12/31 17:00,展覽,主辦︰國立公共資訊圖書館中興分館,
5,梯間智慧--「閱讀主題」海報常設展,國立公共資訊圖書館中興分館,2024/1/1 09:00,2024/12/31 17:00,展覽,主辦︰國立公共資訊圖書館中興分館,
6,耕讀傳家—客家人好讀書特展,國史館臺灣文獻館,2024/1/1 09:00,2024/3/31 17:00,展覽,"主辦︰國史館臺灣文獻館
主辦︰客家委員會客家文化發展中心",
7,注目–臺灣省政資料館典藏展,臺灣省政資料館第三特展室,2024/1/1 09:00,2024/6/30 17:00,展覽,主辦︰國家發展委員會檔案管理局,
8,竹藝博物館常設展,南投縣政府文化局,2024/1/1 09:00,2024/12/31 17:00,展覽,"主辦︰南投縣政府文化局
指導︰南投縣政府",
9,國史館臺灣文獻館文物大樓常設展,國史館臺灣文獻館,2024/1/1 09:00,2024/12/31 17:00,展覽,主辦︰國史館臺灣文獻館,
10,國史館臺灣文獻館史蹟大樓常設展,國史館臺灣文獻館,2024/1/1 09:00,2024/12/31 17:00,展覽,主辦︰國史館臺灣文獻館,
11,54場雨- 設計X工藝跨域共創展,國立臺灣工藝研究發展中心（臺灣工藝文化園區）,2024/1/1 09:00,2024/11/10 17:00,展覽,"主辦︰國立臺灣工藝研究發展中心
指導︰文化部",
12,臺灣省政資料館主題陳列特展,臺灣省政資料館,2024/1/1 09:00,2024/12/31 17:00,展覽,主辦︰國家發展委員會檔案管理局,
13,2023國家工藝成就獎特展－我以我針繡古今 粘碧華,國立臺灣工藝研究發展中心（臺灣工藝文化園區）,2024/1/1 09:00,2024/4/7 17:00,展覽,"主辦︰國立臺灣工藝研究發展中心
指導︰文化部",
14,工藝線-地方特色工藝展,國立臺灣工藝研究發展中心 地方工藝館三樓,2024/1/1 09:00,2024/12/31 17:00,展覽,"主辦︰國立臺灣工藝研究發展中心
指導︰文化部",
15,自然史教育館常設展,國立仁愛高級農業職業學校,2024/1/1 09:00,2024/12/31 17:00,展覽,主辦︰南投縣自然史教育館,
16,地質科學廳常設展,車籠埔斷層保存園區,2024/1/1 09:00,2024/12/31 17:00,展覽,"主辦︰國立自然科學博物館車籠埔斷層保存園區
指導︰國立自然科學博物館","全票︰50
團體票（20人以上）︰30
優待票︰30
6 歲以上，未滿 12 歲兒童︰25
"
17,儀震天下常設展,車籠埔斷層保存園區,2024/1/1 09:00,2024/12/31 17:00,展覽,"主辦︰國立自然科學博物館車籠埔斷層保存園區
指導︰國立自然科學博物館","全票︰50
團體票（20人以上）︰30
優待票︰30
6 歲以上，未滿 12 歲兒童︰25
"
18,電磁視界2.0,車籠埔斷層保存園區,2024/1/1 09:00,2024/12/31 17:00,展覽,"主辦︰國立自然科學博物館車籠埔斷層保存園區
指導︰國立自然科學博物館","全票︰50
團體票（20人以上）︰30
優待票︰30
6 歲以上，未滿 12 歲兒童︰25
"
19,《40週年時光特展—鳳凰40 雙語再現》,鳳凰谷鳥園 松鶴館,2024/1/1 09:00,2024/12/31 16:30,展覽,"主辦︰國立自然科學博物館鳳凰谷鳥園生態園區
指導︰國立自然科學博物館
指導︰教育部",
20,「2023/24國際紙纖維藝術雙年展」地球說話，給紙發聲,國立臺灣工藝研究發展中心（臺灣工藝文化園區）,2024/1/1 09:00,2024/3/31 17:00,展覽,"主辦︰國立臺灣工藝研究發展中心
指導︰文化部",
21,中台世界博物館木雕分館「住世：修護主題展」,中台世界博物館木雕分館3樓301特展室-埔里鎮中台路6號,2024/1/1 09:00,2024/9/22 17:00,展覽,主辦︰中台世界博物館木雕分館,"全票︰200
團體(10人以上) ︰100
"
22,「玉山之美」現代國畫特展,玉山國家公園管理處水里遊客中心,2024/1/1 09:00,2024/4/28 17:00,展覽,主辦︰玉山國家公園管理處,
23,品味玉山-「玉山國家公園大事記」常設展,玉山國家公園管理處水里遊客中心,2024/1/1 09:00,2024/3/31 17:00,展覽,主辦︰玉山國家公園管理處,
24,車籠埔斷層保存園區劇場影片欣賞,車籠埔斷層保存園區,2024/1/1 09:30,2024/12/31 16:50,影片播放,"主辦︰國立自然科學博物館車籠埔斷層保存園區
指導︰國立自然科學博物館","全票︰50
團體票（20人以上）︰30
優待票︰30
6 歲以上，未滿 12 歲兒童︰25
"
25,集集鎮藝術家聯展,集集車站 鐵道倉庫遊客中心,2024/1/1 10:00,2024/3/31 16:00,展覽,"主辦︰南投縣集集鎮公所
承辦︰南投縣集集鎮文化服務所",
26,拈花惹草-戴勝益創作個展,益品美術館,2024/1/1 10:30,2024/12/31 18:00,展覽,主辦︰益品美術館,"門票︰100
"
27,竹藝博物館2023竹藝產品開發競賽作品展,南投縣政府文化局,2024/1/2 09:00,2024/4/3 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局
指導︰文化部",
28,113年第一季新書櫥窗（書展）,欣榮紀念圖書館暨玉蘭文化會館,2024/1/2 09:00,2024/3/31 17:00,展覽,"主辦︰財團法人福田文教基金會
承辦︰欣榮紀念圖書館暨玉蘭文化會館",
29,旅遊文學讀書會,欣榮紀念圖書館暨玉蘭文化會館,2024/1/2 09:30,2024/12/3 11:30,演講／講座／研討會,"主辦︰財團法人福田文教基金會
承辦︰欣榮紀念圖書館暨玉蘭文化會館",
30,北中寮：藝起來-書法藝文活動,南投縣中寮鄉楚園,2024/1/4 19:00,2024/6/13 21:00,演講／講座／研討會,"主辦︰南投縣中寮鄉公所
承辦︰南投縣中寮鄉立圖書館","報名費︰200
"
31,南中寮：藝起來-書法藝文活動,南投縣中寮鄉立圖書館,2024/1/5 18:30,2024/6/14 20:30,演講／講座／研討會,"主辦︰南投縣中寮鄉公所
承辦︰南投縣中寮鄉立圖書館","報名費︰200
"
32,絕頂藝術-神帽與剪黏傳統工藝展,國立臺灣工藝研究發展中心（臺灣工藝文化園區）,2024/1/6 09:00,2024/4/14 17:00,展覽,"主辦︰國立臺灣工藝研究發展中心
指導︰文化部",
