投票所編號,投票所,候選人1,候選人1票數,候選人2,候選人2票數,候選人3,候選人3票數,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數,投票率
1661,拷潭里保福宮,董鳳松,378,,,,,378,95,473,0,473,243,716,0.6606
1662,拷潭里鎮潭宮,董鳳松,353,,,,,353,57,410,0,410,244,654,0.6269
1667,大寮國小至誠樓二年忠班,梁智雄,281,陳忠慶,427,,,708,17,725,0,725,425,1150,0.6304
1668,大寮國小至誠樓二年仁班,梁智雄,376,陳忠慶,470,,,846,27,873,0,873,413,1286,0.6788
1669,大寮國小至誠樓三年愛班,梁智雄,342,陳忠慶,509,,,851,14,865,0,865,460,1325,0.6528
1670,大寮國小至誠樓五年孝班,梁智雄,211,陳忠慶,667,,,878,21,899,0,899,466,1365,0.6586
1671,大寮里社區活動中心,梁智雄,276,陳忠慶,402,,,678,21,699,0,699,389,1088,0.6425
1674,三隆里社區活動中心,林洪碧珠,418,張簡敏雄,352,,,770,15,785,0,785,261,1046,0.7505
1675,三隆里慈隆宮,林洪碧珠,379,張簡敏雄,303,,,682,17,699,0,699,297,996,0.7018
1676,三隆里慈后宮,林洪碧珠,292,張簡敏雄,366,,,658,24,682,0,682,301,983,0.6938
1677,三隆里社區巡守隊服務處,林洪碧珠,455,張簡敏雄,407,,,862,25,887,0,887,394,1281,0.6924
1681,翁園里社區活動中心,蔡旭昇,754,,,,,754,99,853,0,853,432,1285,0.6638
1682,翁園國小樂活運動站右側教室,蔡旭昇,720,,,,,720,95,815,0,815,372,1187,0.6866
1683,翁園國小樂活運動站左側教室,蔡旭昇,555,,,,,555,112,667,0,667,319,986,0.6765
1686,和春技術學院大寮校區105教室,吳玉訓,537,,,,,537,143,680,0,680,454,1134,0.5996
1687,和春技術學院大寮校區106教室,吳玉訓,604,,,,,604,102,706,0,706,347,1053,0.6705
1688,中庄里勵志幼兒園多媒體教室,吳玉訓,520,,,,,520,122,642,0,642,397,1039,0.6179
1689,中庄里勵志幼兒園寶貝班教室,吳玉訓,838,,,,,838,188,1026,0,1026,588,1614,0.6357
1690,中庄國中2年1班教室,吳玉訓,549,,,,,549,86,635,0,635,319,954,0.6656
1691,中庄國小(B105教室),吳玉訓,706,,,,,706,142,848,0,848,503,1351,0.6277
1692,中庄國小(B106教室),吳玉訓,744,,,,,744,141,885,0,885,470,1355,0.6531
1693,中庄國小(B107教室),吳玉訓,655,,,,,655,117,772,0,772,498,1270,0.6079
1699,義仁里新社區活動中心,張簡堂山,349,許明得,423,,,772,16,788,0,788,222,1010,0.7802
1700,義仁里保安宮右側,張簡堂山,290,許明得,311,,,601,12,613,0,613,158,771,0.7951
1703,過溪里社區活動中心,吳應宗,538,陳秀英,588,,,1126,24,1150,0,1150,290,1440,0.7986
1704,過溪里濃公媽祖宮,吳應宗,263,陳秀英,367,,,630,15,645,0,645,224,869,0.7422
1708,會結里社區活動中心,蔡金獅,674,翁乙天,519,,,1193,19,1212,0,1212,297,1509,0.8032
1714,山頂國小大象班教室,顏明輝,368,楊秀花,344,,,712,19,731,0,731,382,1113,0.6568
1715,山頂里新社區活動中心左側,顏明輝,313,楊秀花,344,,,657,27,684,0,684,352,1036,0.6602
